"REF_DATE","GEO","DGUID","Airports","Type of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Canada","2021A000011124","Fort Nelson, British Columbia","Air carrier movements, level IV-VI","Number","223","units","0","v1376027843","1.45.2","193","","","","0"
"2022-01","Canada","2021A000011124","Fort Nelson, British Columbia","Other commercial movements","Number","223","units","0","v1376027844","1.45.3","","..","","","0"
"2022-01","Canada","2021A000011124","Fort Nelson, British Columbia","Private movements","Number","223","units","0","v1376027845","1.45.4","48","","","","0"
"2022-01","Canada","2021A000011124","Fort Nelson, British Columbia","Government civil movements","Number","223","units","0","v1376027846","1.45.5","","..","","","0"
"2022-01","Canada","2021A000011124","Fort Nelson, British Columbia","Government military movements","Number","223","units","0","v1376027847","1.45.6","2","","","","0"
"2022-01","Canada","2021A000011124","Fort St. John, British Columbia","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027812","1.36.1","591","","","","0"
"2022-01","Canada","2021A000011124","Fort St. John, British Columbia","Air carrier movements, level IV-VI","Number","223","units","0","v1376027813","1.36.2","368","","","","0"
"2022-01","Canada","2021A000011124","Fort St. John, British Columbia","Other commercial movements","Number","223","units","0","v1376027814","1.36.3","26","","","","0"
"2022-01","Canada","2021A000011124","Fort St. John, British Columbia","Private movements","Number","223","units","0","v1376027815","1.36.4","141","","","","0"
"2022-01","Canada","2021A000011124","Fort St. John, British Columbia","Government civil movements","Number","223","units","0","v1376027816","1.36.5","","..","","","0"
"2022-01","Canada","2021A000011124","Fort St. John, British Columbia","Government military movements","Number","223","units","0","v1376027817","1.36.6","","..","","","0"
"2022-01","Canada","2021A000011124","Fredericton International, New Brunswick","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027818","1.37.1","315","","","","0"
"2022-01","Canada","2021A000011124","Fredericton International, New Brunswick","Air carrier movements, level IV-VI","Number","223","units","0","v1376027819","1.37.2","1607","","","","0"
"2022-01","Canada","2021A000011124","Fredericton International, New Brunswick","Other commercial movements","Number","223","units","0","v1376027820","1.37.3","","..","","","0"
"2022-01","Canada","2021A000011124","Fredericton International, New Brunswick","Private movements","Number","223","units","0","v1376027821","1.37.4","109","","","","0"
"2022-01","Canada","2021A000011124","Fredericton International, New Brunswick","Government civil movements","Number","223","units","0","v1376027822","1.37.5","10","","","","0"
"2022-01","Canada","2021A000011124","Fredericton International, New Brunswick","Government military movements","Number","223","units","0","v1376027823","1.37.6","10","","","","0"
"2022-01","Canada","2021A000011124","Gander International, Newfoundland and Labrador","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027788","1.27.1","780","","","","0"
"2022-01","Canada","2021A000011124","Gander International, Newfoundland and Labrador","Air carrier movements, level IV-VI","Number","223","units","0","v1376027789","1.27.2","4","","","","0"
"2022-01","Canada","2021A000011124","Gander International, Newfoundland and Labrador","Other commercial movements","Number","223","units","0","v1376027790","1.27.3","24","","","","0"
"2022-01","Canada","2021A000011124","Gander International, Newfoundland and Labrador","Private movements","Number","223","units","0","v1376027791","1.27.4","50","","","","0"
"2022-01","Canada","2021A000011124","Gander International, Newfoundland and Labrador","Government civil movements","Number","223","units","0","v1376027792","1.27.5","25","","","","0"
"2022-01","Canada","2021A000011124","Gander International, Newfoundland and Labrador","Government military movements","Number","223","units","0","v1376027793","1.27.6","90","","","","0"
"2022-01","Canada","2021A000011124","Grande Prairie, Alberta","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027782","1.25.1","576","","","","0"
"2022-01","Canada","2021A000011124","Grande Prairie, Alberta","Air carrier movements, level IV-VI","Number","223","units","0","v1376027783","1.25.2","469","","","","0"
"2022-01","Canada","2021A000011124","Grande Prairie, Alberta","Other commercial movements","Number","223","units","0","v1376027784","1.25.3","40","","","","0"
"2022-01","Canada","2021A000011124","Grande Prairie, Alberta","Private movements","Number","223","units","0","v1376027785","1.25.4","254","","","","0"
"2022-01","Canada","2021A000011124","Grande Prairie, Alberta","Government civil movements","Number","223","units","0","v1376027786","1.25.5","2","","","","0"
"2022-01","Canada","2021A000011124","Grande Prairie, Alberta","Government military movements","Number","223","units","0","v1376027787","1.25.6","2","","","","0"
"2022-01","Canada","2021A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027764","1.21.1","2066","","","","0"
"2022-01","Canada","2021A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Air carrier movements, level IV-VI","Number","223","units","0","v1376027765","1.21.2","140","","","","0"
"2022-01","Canada","2021A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Other commercial movements","Number","223","units","0","v1376027766","1.21.3","16","","","","0"
"2022-01","Canada","2021A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Private movements","Number","223","units","0","v1376027767","1.21.4","100","","","","0"
"2022-01","Canada","2021A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Government civil movements","Number","223","units","0","v1376027768","1.21.5","8","","","","0"
"2022-01","Canada","2021A000011124","Halifax/Robert L. Stanfield International, Nova Scotia","Government military movements","Number","223","units","0","v1376027769","1.21.6","71","","","","0"
"2022-01","Canada","2021A000011124","Hamilton, Ontario","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027770","1.23.1","1860","","","","0"
"2022-01","Canada","2021A000011124","Hamilton, Ontario","Air carrier movements, level IV-VI","Number","223","units","0","v1376027771","1.23.2","51","","","","0"
"2022-01","Canada","2021A000011124","Hamilton, Ontario","Other commercial movements","Number","223","units","0","v1376027772","1.23.3","51","","","","0"
"2022-01","Canada","2021A000011124","Hamilton, Ontario","Private movements","Number","223","units","0","v1376027773","1.23.4","122","","","","0"
"2022-01","Canada","2021A000011124","Hamilton, Ontario","Government civil movements","Number","223","units","0","v1376027774","1.23.5","6","","","","0"
"2022-01","Canada","2021A000011124","Hamilton, Ontario","Government military movements","Number","223","units","0","v1376027775","1.23.6","","..","","","0"
"2022-01","Canada","2021A000011124","High Level, Alberta","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027854","1.48.1","242","","","","0"
"2022-01","Canada","2021A000011124","High Level, Alberta","Air carrier movements, level IV-VI","Number","223","units","0","v1376027855","1.48.2","17","","","","0"
"2022-01","Canada","2021A000011124","High Level, Alberta","Other commercial movements","Number","223","units","0","v1376027856","1.48.3","8","","","","0"
"2022-01","Canada","2021A000011124","High Level, Alberta","Private movements","Number","223","units","0","v1376027857","1.48.4","9","","","","0"
"2022-01","Canada","2021A000011124","High Level, Alberta","Government civil movements","Number","223","units","0","v1376027858","1.48.5","","..","","","0"
"2022-01","Canada","2021A000011124","High Level, Alberta","Government military movements","Number","223","units","0","v1376027859","1.48.6","2","","","","0"
"2022-01","Canada","2021A000011124","Îles-de-la-Madeleine, Quebec","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027734","1.15.1","164","","","","0"
"2022-01","Canada","2021A000011124","Îles-de-la-Madeleine, Quebec","Air carrier movements, level IV-VI","Number","223","units","0","v1376027735","1.15.2","9","","","","0"
"2022-01","Canada","2021A000011124","Îles-de-la-Madeleine, Quebec","Other commercial movements","Number","223","units","0","v1376027736","1.15.3","","..","","","0"
"2022-01","Canada","2021A000011124","Îles-de-la-Madeleine, Quebec","Private movements","Number","223","units","0","v1376027737","1.15.4","","..","","","0"
"2022-01","Canada","2021A000011124","Îles-de-la-Madeleine, Quebec","Government civil movements","Number","223","units","0","v1376027738","1.15.5","60","","","","0"
"2022-01","Canada","2021A000011124","Îles-de-la-Madeleine, Quebec","Government military movements","Number","223","units","0","v1376027739","1.15.6","","..","","","0"
"2022-01","Canada","2021A000011124","Inuvik/Mike Zubko, Northwest Territories","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027740","1.17.1","269","","","","0"
"2022-01","Canada","2021A000011124","Inuvik/Mike Zubko, Northwest Territories","Air carrier movements, level IV-VI","Number","223","units","0","v1376027741","1.17.2","69","","","","0"
"2022-01","Canada","2021A000011124","Inuvik/Mike Zubko, Northwest Territories","Other commercial movements","Number","223","units","0","v1376027742","1.17.3","","..","","","0"
"2022-01","Canada","2021A000011124","Inuvik/Mike Zubko, Northwest Territories","Private movements","Number","223","units","0","v1376027743","1.17.4","","..","","","0"
"2022-01","Canada","2021A000011124","Inuvik/Mike Zubko, Northwest Territories","Government civil movements","Number","223","units","0","v1376027744","1.17.5","2","","","","0"
