"REF_DATE","GEO","DGUID","Airports","Class of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada","2021A000011124","Kenora, Ontario","Local movements","Number","223","units","0","v1331262062","1.101.3","48","","","","0"
"2019-01","Canada","2021A000011124","Kenora, Ontario","Civil local movements","Number","223","units","0","v1331262063","1.101.4","48","","","","0"
"2019-01","Canada","2021A000011124","Kenora, Ontario","Military local movements","Number","223","units","0","v1331262064","1.101.5","","..","","","0"
"2019-01","Canada","2021A000011124","Kingston, Ontario","Total, itinerant and local movements","Number","223","units","0","v1331262065","1.102.1","1774","","","","0"
"2019-01","Canada","2021A000011124","Kingston, Ontario","Itinerant movements","Number","223","units","0","v1331262066","1.102.2","946","","","","0"
"2019-01","Canada","2021A000011124","Kingston, Ontario","Local movements","Number","223","units","0","v1331262067","1.102.3","828","","","","0"
"2019-01","Canada","2021A000011124","Kingston, Ontario","Civil local movements","Number","223","units","0","v1331262068","1.102.4","828","","","","0"
"2019-01","Canada","2021A000011124","Kingston, Ontario","Military local movements","Number","223","units","0","v1331262069","1.102.5","","..","","","0"
"2019-01","Canada","2021A000011124","Kitchener/Waterloo, Ontario","Total, itinerant and local movements","Number","223","units","0","v1374990581","1.5013.1","7119","","","","0"
"2019-01","Canada","2021A000011124","Kitchener/Waterloo, Ontario","Itinerant movements","Number","223","units","0","v1374990582","1.5013.2","2807","","","","0"
"2019-01","Canada","2021A000011124","Kitchener/Waterloo, Ontario","Local movements","Number","223","units","0","v1374990583","1.5013.3","4312","","","","0"
"2019-01","Canada","2021A000011124","Kitchener/Waterloo, Ontario","Civil local movements","Number","223","units","0","v1374990584","1.5013.4","4312","","","","0"
"2019-01","Canada","2021A000011124","Kitchener/Waterloo, Ontario","Military local movements","Number","223","units","0","v1374990585","1.5013.5","","..","","","0"
"2019-01","Canada","2021A000011124","Kuujjuaq, Quebec","Total, itinerant and local movements","Number","223","units","0","v1331261900","1.40.1","880","","","","0"
"2019-01","Canada","2021A000011124","Kuujjuaq, Quebec","Itinerant movements","Number","223","units","0","v1331261901","1.40.2","768","","","","0"
"2019-01","Canada","2021A000011124","Kuujjuaq, Quebec","Local movements","Number","223","units","0","v1331261902","1.40.3","112","","","","0"
"2019-01","Canada","2021A000011124","Kuujjuaq, Quebec","Civil local movements","Number","223","units","0","v1331261903","1.40.4","112","","","","0"
"2019-01","Canada","2021A000011124","Kuujjuaq, Quebec","Military local movements","Number","223","units","0","v1331261904","1.40.5","","..","","","0"
"2019-01","Canada","2021A000011124","La Grande Rivière, Quebec","Total, itinerant and local movements","Number","223","units","0","v1331262070","1.103.1","590","","","","0"
"2019-01","Canada","2021A000011124","La Grande Rivière, Quebec","Itinerant movements","Number","223","units","0","v1331262071","1.103.2","586","","","","0"
"2019-01","Canada","2021A000011124","La Grande Rivière, Quebec","Local movements","Number","223","units","0","v1331262072","1.103.3","4","","","","0"
"2019-01","Canada","2021A000011124","La Grande Rivière, Quebec","Civil local movements","Number","223","units","0","v1331262073","1.103.4","4","","","","0"
"2019-01","Canada","2021A000011124","La Grande Rivière, Quebec","Military local movements","Number","223","units","0","v1331262074","1.103.5","","..","","","0"
"2019-01","Canada","2021A000011124","La Ronge, Saskatchewan","Total, itinerant and local movements","Number","223","units","0","v1331262075","1.104.1","1167","","","","0"
"2019-01","Canada","2021A000011124","La Ronge, Saskatchewan","Itinerant movements","Number","223","units","0","v1331262076","1.104.2","1113","","","","0"
"2019-01","Canada","2021A000011124","La Ronge, Saskatchewan","Local movements","Number","223","units","0","v1331262077","1.104.3","54","","","","0"
"2019-01","Canada","2021A000011124","La Ronge, Saskatchewan","Civil local movements","Number","223","units","0","v1331262078","1.104.4","54","","","","0"
"2019-01","Canada","2021A000011124","La Ronge, Saskatchewan","Military local movements","Number","223","units","0","v1331262079","1.104.5","","..","","","0"
"2019-01","Canada","2021A000011124","Langley, British Columbia","Total, itinerant and local movements","Number","223","units","0","v1374990606","1.5100.1","4590","","","","0"
"2019-01","Canada","2021A000011124","Langley, British Columbia","Itinerant movements","Number","223","units","0","v1374990607","1.5100.2","1996","","","","0"
"2019-01","Canada","2021A000011124","Langley, British Columbia","Local movements","Number","223","units","0","v1374990608","1.5100.3","2594","","","","0"
"2019-01","Canada","2021A000011124","Langley, British Columbia","Civil local movements","Number","223","units","0","v1374990609","1.5100.4","2594","","","","0"
"2019-01","Canada","2021A000011124","Langley, British Columbia","Military local movements","Number","223","units","0","v1374990610","1.5100.5","","..","","","0"
"2019-01","Canada","2021A000011124","Lethbridge, Alberta","Total, itinerant and local movements","Number","223","units","0","v1331262050","1.98.1","1922","","","","0"
"2019-01","Canada","2021A000011124","Lethbridge, Alberta","Itinerant movements","Number","223","units","0","v1331262051","1.98.2","1188","","","","0"
"2019-01","Canada","2021A000011124","Lethbridge, Alberta","Local movements","Number","223","units","0","v1331262052","1.98.3","734","","","","0"
"2019-01","Canada","2021A000011124","Lethbridge, Alberta","Civil local movements","Number","223","units","0","v1331262053","1.98.4","730","","","","0"
"2019-01","Canada","2021A000011124","Lethbridge, Alberta","Military local movements","Number","223","units","0","v1331262054","1.98.5","4","","","","0"
"2019-01","Canada","2021A000011124","Lloydminster, Alberta","Total, itinerant and local movements","Number","223","units","0","v1374990511","1.4118.1","689","","","","0"
"2019-01","Canada","2021A000011124","Lloydminster, Alberta","Itinerant movements","Number","223","units","0","v1374990512","1.4118.2","447","","","","0"
"2019-01","Canada","2021A000011124","Lloydminster, Alberta","Local movements","Number","223","units","0","v1374990513","1.4118.3","242","","","","0"
"2019-01","Canada","2021A000011124","Lloydminster, Alberta","Civil local movements","Number","223","units","0","v1374990514","1.4118.4","234","","","","0"
"2019-01","Canada","2021A000011124","Lloydminster, Alberta","Military local movements","Number","223","units","0","v1374990515","1.4118.5","8","","","","0"
"2019-01","Canada","2021A000011124","London, Ontario","Total, itinerant and local movements","Number","223","units","0","v1331262045","1.96.1","4195","","","","0"
"2019-01","Canada","2021A000011124","London, Ontario","Itinerant movements","Number","223","units","0","v1331262046","1.96.2","2379","","","","0"
